Id_pagina_ex;palavras;Qtd
93;Superoferta;1
93;Até;1
93;50%;1
93;OFF;1
93;rede;1
93;varejo;1
93;móveis;1
93;eletrodomésticos;1
93;ibovespa;1
93;1,19%;1
93;97.761,04;1
93;pts;1
93;(05:16);1
93;comercial;1
93;0,63%;1
93;5,386;1
93;(05:00);1
93;Peso;1
93;Argentino;1
93;0,13%;1
93;0,076;1
93;(06:00);1
93;0,12%;1
93;6,067;1
93;(11:10);1
93;Libra;1
93;0,88%;1
93;6,752;1
93;(11:09);1
93;Reflexos;1
93;265;1
93;alunos;1
93;abandonam;1
93;ensino;1
93;superior;1
93;pago;1
93;evasão;1
93;quase;1
93;32%;1
93;maior;1
93;ante;1
93;período;1
93;2019;1
93;Maioria;1
93;escolas;1
93;particulares;1
93;perdeu;1
93;10%;1
93;alunos,;1
93;pesquisa;1
93;Demanda;1
93;Defensoria;1
93;Pública;1
93;dará;1
93;estudantes;1
93;medida;1
93;anunciada;1
93;prefeito;1
93;Marcelo;1
93;Crivella;1
93;terça-feira;1
93;Metroviários;1
93;adiam;1
93;decisão;1
93;greve;1
93;próxima;1
93;semana;1
93;tentativa;1
93;trem;1
93;Jovem;1
93;expôs;1
93;suposto;1
93;abusador;1
93;ameaçada;1
93;Loteria;1
93;acumula,;1
93;prêmio;1
93;8,6;1
93;milhões__;1
93;números;1
93;Timemania;1
93;acumula;1
93;5,3;1
93;mi;1
93;Encaminhou;1
93;Polícia;1
93;conclui;1
93;indicia;1
93;agressores;1
93;Partido;1
93;cobra;1
93;explicação;1
93;Conta;1
93;Whatsapp;1
93;usada;1
93;PT;1
93;bloqueada;1
93;Prefeito;1
93;Tamandaré;1
93;(PE);1
93;Pedido;1
93;impeachment;1
93;Sérgio;1
93;Hacke;1
93;protocolado;1
93;Finanças!;1
93;Estude;1
93;Amorim;1
93;outros.Saiba;1
93;mais!;1
93;0%;1
93;taxa,;1
93;verdade,;1
93;só;1
93;PagSeguro.;1
93;Peça;1
93;maquininha!;1
93;Divulgue;1
93;profissional!Experimente;1
93;salas;1
93;exclusivas;1
93;UOL.;1
93;PUCRS;1
93;Gestão,;1
93;MKT.;1
93;'Bombardeadas;1
93;ruins';1
93;Grávidas;1
93;pandemia,;1
93;elas;1
93;enfrentam;1
93;solidão;1
93;incertezas:;1
93;'Só;1
93;vem;1
93;tristeza';1
93;Foto;1
93;Ícone;1
93;moda;1
93;90;1
93;reflete;1
93;envelhecimento;1
93;Lindsay;1
93;Ell;1
93;Cantora;1
93;sofreu;1
93;estupro;1
93;21,;1
93;Carrega;1
93;desde;1
93;15;1
93;Hariany;1
93;sente;1
93;vergonha;1
93;estrias:;1
93;'Todos;1
93;têm';1
93;Tema;1
93;conferência;1
93;UFMG:;1
93;'Impacto;1
93;combate;1
93;Aids;1
93;enorme';1
93;Estudo;1
93;investigou;1
93;evitadas;1
93;Europa;1
93;Queda;1
93;poluição;1
93;reduz;1
93;mortalidade;1
93;doenças,;1
93;aponta;1
93;estudo;1
93;Distanciamento;1
93;físico,;1
93;social__;1
93;entenda;1
93;diferença;1
93;Habitações;1
93;acessíveis;1
93;Kanye;1
93;West;1
93;reinicia;1
93;casas;1
93;destinadas;1
93;sem-teto;1
93;Pós-coronavírus;1
93;Chefs;1
93;caseiros;1
93;outro;1
93;golpe;1
93;restaurantes;1
93;Aprenda;1
93;Ana;1
93;Maria;1
93;Braga;1
93;ensina;1
93;chocolate;1
93;quente;1
93;Plano;1
93;reabertura;1
93;Machu;1
93;Picchu;1
93;reduzirá;1
93;capacidade;1
93;2.244;1
93;visitantes;1
93;Manutenção;1
93;colocar;1
93;velas;1
93;adequadas;1
93;carro;1
93;estilo;1
93;'Código;1
93;Vinci';1
93;Rolls-Royce;1
93;mensagens;1
93;cifradas;1
93;Desejo;1
93;Zuckerberg;1
93;Facebook;1
93;WhatsApp:;1
93;primeiras;1
93;pistas;1
93;integração;1
93;apps;1
93;Google;1
93;Docs;1
93;suporte;1
93;modo;1
93;escuro;1
93;Android;1
93;Indústria;1
93;tóxica;1
93;Ubisoft,;1
93;Twitch,;1
93;EVO:;1
93;explodem;1
93;indústria;1
93;games;1
93;Leo;1
93;Bianchi;1
93;País;1
93;mobile,;1
93;destaca;1
93;PUBG;1
93;cenário;1
93;Nísia;1
93;Trindade;1
93;Lima;1
93;'Pandemia;1
93;mesma;1
93;todos',;1
93;Fiocruz;1
93;Problema;1
93;histórico;1
93;é,;1
93;origem;1
93;combater;1
93;desigualdade;1
93;Schwarza;1
93;Solidariedade;1
93;favelas;1
93;amenizar;1
93;dor;1
93;onde;1
93;Estado;1
93;Criador;1
93;'Brasil;1
93;gerenciado;1
93;senso;1
93;bêbado';1
93;Japoneses;1
93;negros:;1
93;jovens;1
93;desmontam;1
93;mito;1
93;étnico;1
93;único;1
93;Japão;1
93;'Novo;1
93;Mundo';1
93;quem?;1
93;Espanha;1
93;Portugal,;1
93;colonizar;1
93;'expandir;1
93;território';1
93;testou;1
93;positivo;1
93;Ele;1
93;realizou;1
93;exames;1
93;Brasília;1
93;sentir;1
93;alguns;1
93;sintomas;1
93;doença,;1
93;estar;1
93;'perfeitamente;1
93;bem';1
93;3;1
93;Engenheiro;1
93;ameaças;1
93;nega;1
93;agredido;1
93;fiscal;1
93;bar;1
93;Não;1
93;minha;1
93;terem;1
93;apoiado;1
93;5;1
93;desaparecer;1
93;Alemanha,;1
93;Jornalismo;1
93;Sadi;1
93;virou;1
93;nomes;1
93;Deltan;1
93;equívoco;1
93;Moro;1
93;ida;1
93;ministério;1
93;Ricardinho;1
93;vôlei;1
93;'Giba;1
93;era;1
93;sempre;1
93;moço.;1
93;Tive;1
93;vilão';1
93;Na;1
93;quarentena;1
93;reconectam;1
93;autoestima;1
93;meu;1
93;iniciativa;1
93;apoia;1
93;pequeno;1
93;empreendedor;1
93;rápidas;1
93;promover;1
93;internet;1
93;Handmaids;1
93;Tale:;1
93;Conto;1
93;Aia,;1
93;Paramount+;1
93;Todas;1
93;temporadas;1
93;Walking;1
93;Dead,;1
93;FOX;1
93;Premium;1
93;Espanhol;1
93;volta!;1
93;Empurrãozinho;1
93;Uol;1
93;Agora;1
93;ficou;1
93;fácil;1
93;falar;1
93;inglês;1
93;Pós-Graduação;1
93;Liderança;1
93;Arcangeli.;1
93;COMECE;1
93;JÁ.;1
93;Preparatório;1
93;MPU;1
93;Vagas;1
93;analista;1
93;técnico.Salários;1
93;R$11.345;1
93;Portal;1
93;Profissionalizantes;1
93;Mais!;1
93;Sobre;1
93;nossa;1
93;história;1
93;Denuncie;1
93;Fale;1
93;conosco;1
93;privacidade;1
93;PagBank;1
93;Tenha;1
93;email;1
93;@uol;1
93;Antivírus;1
93;Wi-Fi;1
93;técnica;1
93;PlayKids;1
93;online;1
93;Go4Gold;1
93;Anuncie;1
93;Cloud;1
93;Computing;1
93;blog;1
93;loja;1
93;virtual;1
93;marketing;1
93;profissional;1
93;Hospedagem;1
93;Moderninha;1
93;PagSeguro;1
93;Registre;1
93;domínio;1
93;Aplicativos;1
93;Placar;1
93;Errata;1
93;Comunicar;1
93;Temer;1
93;entrosado;1
93;posts;1
93;seus;1
93;blogs;1
93;preferidos;1
93;vão;1
93;aparecer;1
93;destaque;1
93;home;1
93;cara;1
93;Alterar;1
93;lista;1
